Id,HIghest,SGD,"Softmax
","
Model3"
0,0.9999931813,0.9999925,1,1
1,0.987004132,0.9762958,0.9949268,0.99965644
2,0.001009985333,0.002354525,1.08E-05,1.95E-05
3,0.9997842073,0.99978507,0.99999964,1
4,0.06811105373,0.48147634,0.0032788368,0.0007727742
5,0.03424745451,0.028031431,0.0014060283,0.015076667
6,0.0001371523068,0.00025134534,2.94E-06,9.21E-06
7,0.0744119086,0.24410754,0.0075468807,0.0016881526
8,0.99999588,0.99999285,1,1
9,0.9998656353,0.9993113,0.99999774,0.99999714
10,0.01160670684,0.07045248,2.05E-05,0.002919048
11,0.99999873,0.9999963,1,1
12,0.9979013807,0.99668175,0.9998661,0.9998053
13,0.01313994712,0.018446386,5.35E-05,0.00026273727
14,0.0002326256817,9.06E-05,2.16E-06,4.57E-05
15,0.004003049995,0.0038696975,2.23E-05,0.00019729137
16,0.03104334707,0.09801213,0.016452882,0.00951615
17,0.9955657847,0.9999318,0.99999976,0.9999885
18,0.1729289913,0.16042346,0.023715638,0.07678804
19,0.001123732324,0.0002405867,0.000194215,0.0023641586
20,0.9985925893,0.9896993,0.999998,0.9998559
21,0.0004412412719,0.0005534813,0.00014373507,0.0006057322
22,0.02577604797,0.05170414,0.0043658777,0.006061256
23,0.99999812,0.9999973,1,1
24,0.9997842013,0.99957615,0.99972373,0.9999427
25,0.001231469707,0.00038374215,0.0003280584,0.002166897
26,0.02455401845,0.08773214,0.012171547,0.017377257
27,0.0001432339619,0.00015459955,3.99E-06,8.26E-06
28,0.9900766533,0.98404646,0.9999697,0.99999744
29,0.119841758,0.08990043,0.11787975,0.045612276
30,0.07048043567,0.1781913,0.0021565189,0.19127268
31,0.000287832816,0.00043649971,8.97E-05,0.0005593598
32,0.06574483643,0.16017638,0.00037448524,0.014779687
33,0.000824278586,0.0004657805,0.000751403,0.0019386411
34,0.0002078726283,0.00031837076,5.49E-05,5.11E-05
35,0.02478292971,0.051603116,0.002645758,0.003954321
36,0.01326444947,0.045502968,0.0004687602,0.0010118783
37,0.0006798636347,0.00021368265,2.76E-05,6.50E-05
38,0.9992144987,0.99807346,0.99950814,0.9999882
39,0.99999804,0.99999535,1,1
40,0.01439065549,0.0065749288,0.004050139,0.0010225475
41,0.99999375,0.9999919,1,1
42,0.00038020827,0.0005937293,3.67E-05,0.00012362003
43,0.005273588278,0.016033888,0.00029699472,0.0021377802
