Id,Predicted
0,0.7793236
1,0.80187017
2,0.79599035
3,0.74919915
4,0.78536785
5,0.80075943
6,0.8081951
7,0.8057975
8,0.8099823
9,0.7594464
10,0.80376995
11,0.80813867
12,0.8004248
13,0.8015883
14,0.7962513
15,0.8023294
16,0.80663335
17,0.79839694
18,0.7937075
19,0.80332565
20,0.7823228
21,0.76334715
22,0.8088649
23,0.80372316
24,0.7841829
25,0.79623115
26,0.80672413
27,0.81251216
28,0.7994324
29,0.80561167
30,0.80484664
31,0.8041115
32,0.8063597
33,0.8000272
34,0.8047126
35,0.7844095
36,0.80436325
37,0.7782787
38,0.80348265
39,0.8113914
40,0.795209
41,0.79930055
42,0.80117273
43,0.8028179
44,0.7796833
45,0.7912041
46,0.7982763
47,0.8035641
48,0.7929002
49,0.81038237
50,0.77600884
51,0.8051716
52,0.8029268
53,0.81148446
54,0.81046426
55,0.77797735
56,0.781505
57,0.81012106
58,0.8116007
59,0.7917204
60,0.77148676
61,0.8003402
62,0.79507875
63,0.79194117
64,0.80830073
65,0.7598589
66,0.7978002
67,0.80318844
68,0.7971461
69,0.7937392
70,0.7979803
71,0.79794633
72,0.78734744
73,0.7868609
74,0.7982134
75,0.78962016
76,0.7975956
77,0.7998361
78,0.79809034
79,0.8031379
80,0.78433144
81,0.80624527
82,0.7923904
83,0.79854137
84,0.805181
85,0.78871197
86,0.79295707
87,0.7914175
88,0.7722486
89,0.7908656
90,0.80195254
91,0.79733217
92,0.8029301
93,0.8074221
94,0.80638605
95,0.80251133
96,0.7875577
97,0.7975253
98,0.8003107
99,0.76300097
100,0.79447865
101,0.7821764
102,0.7954874
103,0.7997523
104,0.8000622
105,0.8002468
106,0.803352
107,0.79340523
108,0.79787314
109,0.8055903
110,0.75668323
111,0.7802462
112,0.79250383
113,0.8046105
114,0.80285984
115,0.74845326
116,0.80653155
117,0.8110548
118,0.798875
119,0.793672
120,0.80634093
121,0.7775955
122,0.81069267
123,0.8098564
124,0.8013886
125,0.78179944
126,0.79721934
127,0.79318434
128,0.8076233
129,0.79425323
130,0.8031101
131,0.8047104
132,0.8095722
133,0.7950976
134,0.8013681
135,0.80278885
136,0.80308294
137,0.79321015
138,0.79406226
139,0.8123351
140,0.7893671
141,0.79259515
142,0.7647985
143,0.8045228
144,0.79050946
145,0.8031406
146,0.78591233
147,0.80260146
148,0.79743814
149,0.7984675
150,0.7812285
151,0.7948015
152,0.78643274
153,0.80270076
154,0.79423225
155,0.7921203
156,0.7555157
157,0.79296184
158,0.8090855
159,0.8031597
160,0.80812824
161,0.7961945
162,0.7995619
163,0.7961749
164,0.80292916
165,0.7964553
166,0.79006344
167,0.8062738
168,0.7990094
169,0.78858536
170,0.80247045
171,0.80148417
172,0.789988
173,0.7986608
174,0.78562385
175,0.8079332
176,0.769155
177,0.80409455
178,0.80390435
179,0.7988703
180,0.8048972
181,0.80545163
182,0.8005178
183,0.79040074
184,0.7922962
185,0.7856536
186,0.79696214
187,0.78889585
188,0.80302286
189,0.8059573
190,0.7955029
191,0.80139744
192,0.7937491
193,0.8041385
194,0.7947184
195,0.808182
196,0.8013505
197,0.80500257
198,0.75274205
199,0.7960559
200,0.7992325
201,0.8091365
202,0.79832166
203,0.7945663
204,0.8015251
205,0.79286885
206,0.8011415
207,0.7990453
208,0.7984221
209,0.80315906
210,0.7717843
211,0.79482675
212,0.8040707
213,0.78085184
214,0.80792534
215,0.7706319
216,0.7571993
217,0.79932207
218,0.8011962
219,0.8052052
220,0.7981192
221,0.8091812
222,0.8058561
223,0.8041639
224,0.80134183
225,0.79687744
226,0.8019914
227,0.79495543
228,0.79945385
229,0.7883189
230,0.7978747
231,0.7918407
232,0.80288243
233,0.8000963
234,0.794333
235,0.7974671
236,0.7977737
237,0.7975383
238,0.8078059
239,0.7599417
240,0.80268705
241,0.798864
242,0.79891443
243,0.80520046
244,0.79226184
245,0.8014985
246,0.80987823
247,0.8041967
248,0.7678433
249,0.7908379
250,0.8051448
251,0.80045605
252,0.80081797
253,0.7721759
254,0.79370886
255,0.8043679
256,0.7954591
257,0.7646556
258,0.7958417
259,0.799757
260,0.7874919
261,0.8074591
262,0.7974477
263,0.80894744
264,0.7615047
265,0.79565805
266,0.8023985
267,0.8081517
268,0.7646926
269,0.7929762
270,0.7663077
271,0.8012121
272,0.80634165
273,0.80116796
274,0.7926793
275,0.8103585
276,0.790599
