Id,X1-H,"Best
",X-4-1.8,X-3-1,RNN,XG3k,Lightgbm
0,0.21776824,0.2451116786,0.17341508,0.20787734,1.60E-01,0.25938412,3.04E-01
1,0.013035521,0.08373773299,0.016472977,0.01978702,1.16E-01,0.0920177605,5.88E-02
2,0.060744304,0.2119482915,0.07437056,0.08146111,3.00E-01,0.198372152,1.18E-01
3,0.061146386,0.2480689094,0.052724976,0.070490055,3.75E-01,0.192573193,1.20E-01
4,0.0031063552,0.05623041879,0.00324178,0.006583471,9.71E-02,0.0810531776,1.70E-02
5,0.14391331,0.2508131412,0.12398342,0.15679449,2.28E-01,0.220956655,2.50E-01
6,0.12140311,0.22116496,0.11292292,0.108046666,3.42E-01,0.219701555,1.08E-01
7,0.6856581,0.5037297804,0.5427552,0.6246373,4.47E-01,0.59982905,5.72E-01
8,0.0055054827,0.05494570814,0.0076787667,0.008299765,9.50E-02,0.07925274135,1.62E-02
9,0.019817902,0.1502255661,0.020240162,0.030056154,2.64E-01,0.134408951,4.19E-02
10,0.96238947,0.8319674305,0.96549875,0.970122,7.45E-01,0.849194735,9.11E-01
11,0.006289986,0.06313845232,0.005712713,0.009781094,1.07E-01,0.080644993,2.29E-02
12,0.03354633,0.1756416177,0.041317012,0.036363177,2.84E-01,0.152273165,7.21E-02
13,0.021972733,0.08674137349,0.019931404,0.022038197,1.14E-01,0.1029863665,6.92E-02
14,0.00461294,0.1100930818,0.0052733542,0.0069637126,2.04E-01,0.10430647,1.88E-02
15,0.7289673,0.6097430508,0.6416263,0.6538359,4.80E-01,0.63548365,7.65E-01
16,0.026418772,0.09255487447,0.024988374,0.031353004,1.39E-01,0.105209386,3.85E-02
17,0.015518946,0.06953202741,0.01139847,0.01856251,8.14E-02,0.093759473,5.45E-02
18,0.028624024,0.1325628191,0.028130835,0.025410965,2.00E-01,0.125812012,5.57E-02
19,0.7861923,0.5942180402,0.70082533,0.6742787,4.69E-01,0.67309615,7.08E-01
20,0.41551194,0.2253415639,0.49476725,0.47231397,1.59E-01,0.36125597,2.59E-01
21,0.43070975,0.3640921501,0.4231077,0.43086928,4.66E-01,0.435354875,2.55E-01
22,0.086305454,0.2791436265,0.088447,0.115767546,3.39E-01,0.221152727,1.89E-01
23,0.048032317,0.1003090365,0.06090604,0.051544134,1.17E-01,0.1180161585,8.46E-02
24,0.045828283,0.2037285323,0.03686344,0.054921865,2.78E-01,0.1639141415,1.48E-01
25,0.014939587,0.09024614324,0.018747535,0.01974905,1.40E-01,0.0994697935,4.77E-02
26,0.009021,0.07697595167,0.009981516,0.014706949,1.22E-01,0.0875105,3.32E-02
27,0.017869709,0.08966525557,0.013652367,0.021404058,1.21E-01,0.0974348545,6.75E-02
28,0.18915263,0.1246693958,0.17363992,0.14203644,8.13E-02,0.193576315,1.87E-01
29,0.08019142,0.3451232601,0.093117155,0.10639443,2.39E-01,0.20909571,4.82E-01
30,0.0074964436,0.05483534684,0.0077842823,0.0090312725,8.65E-02,0.0762482218,3.35E-02
31,0.022025628,0.1012454493,0.022840505,0.0313638,1.38E-01,0.104512814,5.94E-02
32,0.018727807,0.1248716171,0.015682394,0.023716222,1.97E-01,0.1198639035,5.88E-02
33,0.016448816,0.09014768223,0.013625847,0.015448616,1.27E-01,0.099724408,6.86E-02
34,0.018500105,0.08682866212,0.022010824,0.028453792,1.25E-01,0.1007500525,4.80E-02
35,0.05713265,0.1756036117,0.07598812,0.058112647,2.38E-01,0.160066325,1.23E-01
36,0.0077653276,0.08803489472,0.009536745,0.014257673,1.56E-01,0.0938826638,2.26E-02
37,0.060962476,0.125088413,0.040510077,0.0633571,1.33E-01,0.144981238,1.21E-01
38,0.029891517,0.1310748161,0.024128977,0.024566155,1.47E-01,0.1224457585,1.27E-01
39,0.008830484,0.06491985888,0.0057928856,0.009572342,9.92E-02,0.083415242,2.81E-02
40,0.006719922,0.06547371957,0.0066326996,0.009387572,1.03E-01,0.090859961,2.97E-02
41,0.28409457,0.3416242405,0.2831806,0.27448672,2.95E-01,0.323547285,4.59E-01
42,0.02774537,0.1137563387,0.023625102,0.03522811,1.84E-01,0.139372685,4.96E-02
43,0.0048793773,0.06914641631,0.0041921954,0.0052948864,1.20E-01,0.08443968865,2.05E-02
44,0.0031182708,0.07758886596,0.0024355338,0.005130569,1.37E-01,0.0885591354,2.12E-02
45,0.026821796,0.1078750368,0.030232277,0.026121452,1.51E-01,0.110410898,7.41E-02
46,0.12923045,0.1607971428,0.15577987,0.1449594,1.42E-01,0.199615225,1.66E-01
47,0.5691587,0.6065729217,0.58221495,0.5257543,6.05E-01,0.57407935,6.01E-01
48,0.01663874,0.08612757358,0.01772892,0.018329646,1.21E-01,0.09631937,6.13E-02
49,0.0124160275,0.07490165122,0.011021802,0.01577745,9.71E-02,0.08870801375,5.39E-02
50,0.0060209176,0.06927590835,0.006569387,0.0075680465,1.18E-01,0.0825104588,2.25E-02
51,0.06835757,0.2019421608,0.047899835,0.0746242,2.60E-01,0.178178785,1.28E-01
52,0.009873984,0.06122623746,0.008627421,0.011486012,9.14E-02,0.085436992,3.16E-02
53,0.018702416,0.2351566914,0.014191488,0.020083355,4.14E-01,0.180851208,5.16E-02
54,0.019983385,0.09519305187,0.029963132,0.038408473,1.32E-01,0.1209916925,6.63E-02
55,0.011920603,0.1016589896,0.008862435,0.014565642,1.63E-01,0.1074603015,4.46E-02
56,0.13110209,0.2836735951,0.14376046,0.13654938,4.59E-01,0.270551045,1.14E-01
57,0.04680304,0.117539601,0.039335944,0.05783182,1.47E-01,0.13090152,9.77E-02
58,0.006840516,0.06742979421,0.005904943,0.011029946,1.11E-01,0.083920258,2.53E-02
59,0.02207752,0.07932649434,0.018929629,0.03193279,1.24E-01,0.10003876,4.00E-02
60,0.001103826,0.1059295778,0.0012243113,0.001813057,2.00E-01,0.099051913,1.45E-02
61,0.03442147,0.1054048473,0.04952855,0.03629211,1.53E-01,0.119710735,6.14E-02
62,0.9959253,0.9471893945,0.99763644,0.99634737,9.17E-01,0.92746265,9.77E-01
63,0.024322355,0.1253819314,0.022371018,0.03506259,1.92E-01,0.1231611775,5.89E-02
64,0.0026932696,0.06127601796,0.003650662,0.005085514,1.08E-01,0.0768466348,1.88E-02
65,0.09921278,0.290259054,0.082813695,0.12623788,3.86E-01,0.23160639,2.00E-01
66,0.04350001,0.1034244026,0.05790646,0.059203558,1.30E-01,0.128750005,7.61E-02
67,0.037247743,0.2602371628,0.03966681,0.048892856,4.52E-01,0.2006238715,9.14E-02
68,0.3219781,0.2465694752,0.23701711,0.21491243,1.82E-01,0.31598905,2.96E-01
69,0.35540652,0.3046156607,0.27312475,0.2558791,1.02E-01,0.35770326,5.65E-01
